195153448,Null
2005018,Null
60973129,Null
374157065,Null
393045218,Null
399135782,good
425176428,good
671870432,good
679425608,Null
074322678X,medium
771074670,medium
080652121X,Null
887841740,medium
1552041778,medium
1558746218,good
1567407781,medium
1575663937,medium
1881320189,medium
440234743,Null
452264464,Null
609804618,good
1841721522,good
1879384493,good
61076031,medium
439095026,medium
689821166,medium
971880107,Null
345402871,Null
345417623,Null
684823802,good
375759778,medium
425163091,Null
3404921038,Null
3442353866,Null
3442410665,Null
3442446937,Null
375406328,medium
446310786,good
449005615,good
60168013,good
038078243X,good
055321215X,Null
067176537X,good
61099686,medium
553582909,Null
671888587,Null
553582747,good
425182908,medium
042518630X,Null
440223571,Null
812523873,Null
842342702,Null
440225701,Null
60914068,good
156047624,good
245542957,medium
380715899,good
553280333,Null
961769947,Null
964778319,good
671623249,good
679810307,Null
679865691,medium
2070423204,medium
345260317,medium
394743741,medium
042511774X,Null
804106304,good
1853262404,medium
312970242,medium
1853260053,good
1414035004,good
60938412,medium
140067477,good
345465083,good
451625889,Null
1558531025,Null
441783589,Null
394895894,good
1569871213,Null
375410538,Null
966986105,good
087113375X,medium
340767936,Null
743403843,medium
60930365,Null
60177586,Null
71416331,good
375509038,good
553062042,medium
316769487,Null
8445071408,good
8445071769,good
8445071777,good
679429220,Null
671867156,good
312252617,Null
312261594,medium
316748641,medium
316973742,medium
385235941,medium
446677450,good
451166892,good
553347594,Null
671621009,medium
067976397X,good
684822733,Null
786868716,good
8472238822,medium
671864769,medium
671521519,medium
440222303,medium
312953453,medium
446608653,good
446612545,Null
446612618,medium
451208080,Null
553584383,Null
671027360,good
812575954,medium
316735736,good
743439740,good
345372700,good
380619458,Null
446325805,good
451406923,good
671042858,Null
743249992,good
840734530,good
425184226,Null
375500766,Null
9724119378,Null
451205197,medium
60929790,good
60976845,Null
61099325,Null
671004573,Null
446601640,Null
330484516,Null
038572179X,Null
393020371,Null
1900850303,bad
1903019699,Null
345425294,good
451410319,Null
553583468,Null
8420639133,Null
8476409419,good
380778556,Null
451525221,medium
2740230,medium
385336772,good
440949424,Null
505524996,good
140252800,Null
451452755,bad
812575482,Null
